AbsMinZ,AbsMinX,AbsMedianZ,AbsMeanZ,AbsMedianY,AbsMeanY,MedianZ,AbsMinY,AvgZ,AvgX,Label
0.002346544,0.084649452,0.114511407,0.111247316,0.911699608,0.910274248,0.459751692,0.89055286,0.469806213,0.572765193,2
0.004791005,0.003243186,0.41759884,0.698461776,0.424696359,0.459076181,0.554721883,0.000883298,0.754064726,0.718525467,2
0.014852903,0.011725854,0.690144082,0.668641932,0.214271134,0.216784337,0.872228887,0.017818549,0.85103272,0.80355911,2
0.710175049,0.620554373,0.68853493,0.684325529,0.18742364,0.187497195,0.871402145,0.18653023,0.860779809,0.811003352,1
0.716953795,0.630682889,0.691811107,0.687406109,0.181113705,0.179249801,0.873085362,0.185910467,0.862351571,0.810098814,1
0.717327863,0.625977213,0.690752379,0.686083528,0.18456829,0.182514918,0.872541414,0.18701032,0.861676768,0.808964409,1
0.717592494,0.631130218,0.691787563,0.687160481,0.18106097,0.179134752,0.873073266,0.183297082,0.862226247,0.810169974,1
0.717327863,0.625957594,0.692252927,0.687645063,0.18421672,0.181759478,0.873312358,0.184312104,0.862473489,0.809293943,1
0.719602051,0.630794809,0.692500931,0.687967904,0.179347284,0.177801537,0.873439776,0.184510324,0.862638207,0.80950546,1
8.22E-05,0.020937274,0.040064431,0.056337545,0.918497958,0.907496197,0.493190681,0.879974125,0.478802534,0.574293382,0
0.001120025,0.001621724,0.441911883,0.442126628,0.863123515,0.732943745,0.329179944,0.002718064,0.437788111,0.477793237,2
0.061343548,0.001376322,0.71113057,0.826681066,0.329783232,0.373702414,0.883011214,0.007082046,0.933411882,0.680234367,2
0.640555238,0.121149463,0.802709495,0.795824519,0.338227132,0.332439251,0.930062156,0.255038882,0.917668378,0.668955446,2
0.481122389,0.125533204,0.764387647,0.701753538,0.276921026,0.266264985,0.910373358,0.143343738,0.869671858,0.763545472,1
0.778202296,0.363185756,0.787635976,0.783136513,0.302812295,0.302191124,0.922317762,0.292448237,0.911194755,0.705797972,1
0.812652642,0.422479423,0.78605973,0.781749256,0.29040426,0.287505787,0.921507927,0.294585803,0.910486954,0.7119625,1
0.792232868,0.386054133,0.784750735,0.78012822,0.297121611,0.294987422,0.920835398,0.276848316,0.909659875,0.710042117,1
0.80109505,0.412857624,0.785569493,0.780767889,0.301827557,0.299071722,0.921256055,0.303999558,0.909986245,0.709441354,1
0.806614191,0.407826081,0.785064872,0.780778241,0.305383509,0.302571241,0.920996794,0.299124075,0.909991526,0.705880821,1
7.37E-05,0.008916895,0.012745282,0.017717984,0.926518972,0.921126676,0.515232635,0.918052738,0.510933811,0.576294657,0
0.001935192,0.006345786,0.251266401,0.341871049,0.913766199,0.852097696,0.432548664,0.053760532,0.533569463,0.546931043,2
0.013983752,0.019474441,0.791517274,0.842988631,0.37320855,0.539660009,0.924311875,0.017849747,0.935218666,0.742179929,2
0.821317255,0.365673108,0.795562281,0.791545784,0.283816856,0.281128376,0.926390098,0.279823997,0.915485299,0.705388869,1
0.819595558,0.412710766,0.794158443,0.790030285,0.272679535,0.271026036,0.925668841,0.275489863,0.914712067,0.71056883,1
0.809488156,0.404163764,0.79133122,0.786793736,0.269926721,0.267924801,0.924216285,0.261281603,0.913060728,0.713261961,1
0.819285484,0.423471158,0.791236828,0.785972368,0.269256141,0.265923325,0.924167789,0.262346938,0.912641653,0.715420031,1
0.816473796,0.424154926,0.790645231,0.785651347,0.270459731,0.267751376,0.923863842,0.269686399,0.912477863,0.714053685,1
0.820524866,0.424590196,0.79099371,0.786480057,0.264998811,0.262462109,0.924042882,0.266620133,0.912900684,0.717120496,1
0.792836226,0.390984599,0.789328901,0.783308439,0.265263993,0.262991582,0.923187544,0.255866459,0.911282474,0.717012438,1
0.006981858,0.000558885,0.054677741,0.07064745,0.924867744,0.902991957,0.485682731,0.747452995,0.471488967,0.475684535,0
0.000555344,0.004996557,0.45992065,0.539744707,0.825792604,0.765279763,0.289473105,0.022481637,0.395298049,0.348010824,2
0.003282024,0.009908553,0.774690039,0.787492707,0.346150486,0.353571917,0.915666466,0.001362709,0.90528738,0.691492394,2
0.76523974,0.236759227,0.78947898,0.780511366,0.321072238,0.311007413,0.923264651,0.227117418,0.909855363,0.698374993,2
0.821976068,0.375867864,0.794402627,0.789989369,0.317194605,0.313788821,0.925794297,0.317450303,0.914691191,0.690249398,1
0.817193849,0.379926279,0.79599589,0.790320716,0.314598558,0.311797593,0.926612875,0.316449679,0.91486025,0.691195223,1
0.821169629,0.386147541,0.798361843,0.793093663,0.308976974,0.306595301,0.927828442,0.315426786,0.916275052,0.693154425,1
0.820193937,0.38281001,0.796510219,0.790751026,0.314052546,0.310875597,0.926877125,0.314322862,0.915079801,0.690886553,1
0.657308445,0.290041806,0.796509586,0.784955791,0.305615606,0.293825745,0.926876799,0.20089534,0.912122979,0.707114396,1
0.643707131,0.129739018,0.767495862,0.764574919,0.25163727,0.259988677,0.91197028,0.198126534,0.901724332,0.732283716,1
0.058269751,0.088264484,0.065894576,0.072202084,0.928238487,0.918992272,0.479919804,0.952886982,0.470695767,0.444365674,0
0.000893042,0.000503898,0.081750817,0.085777572,0.930711382,0.903793441,0.480928479,0.699749157,0.481508114,0.454189115,2
0.037342565,0.014960152,0.726783898,0.746685237,0.443052271,0.61738241,0.8910535,0.002622636,0.859755936,0.766550552,2
0.735720941,0.556684473,0.738532374,0.73094579,0.187499428,0.182631355,0.89708957,0.118004386,0.884566213,0.786934959,1
0.769810915,0.555583309,0.741199104,0.736892513,0.18568784,0.184276306,0.898459669,0.185910467,0.887600326,0.77896926,1
0.762961135,0.539504277,0.744524332,0.739497329,0.187117405,0.185596616,0.900168087,0.187108271,0.888929344,0.776394449,1
0.772650945,0.554487662,0.746320016,0.741488548,0.181947976,0.179429642,0.901090664,0.179409842,0.889945296,0.775885398,1
0.775482006,0.558347222,0.747283808,0.74266681,0.175346299,0.17329304,0.901585836,0.176819958,0.890546464,0.775968322,1
0.776379257,0.560536252,0.748488828,0.743592978,0.169541788,0.167554882,0.902204945,0.170352,0.89101901,0.77627593,1
0.77114022,0.549641419,0.746702785,0.742590659,0.165112071,0.162907157,0.901287322,0.162101606,0.890507611,0.777510192,1
0.011992046,0.127210414,0.043477632,0.050882181,0.9212821,0.915891205,0.491437065,0.97172804,0.481573523,0.41795379,0
0.000603599,0.001361882,0.068562354,0.172476409,0.852717527,0.754901219,0.541915856,0.047857444,0.566646526,0.524937956,2
0.05677487,0.028741579,0.65665341,0.649554057,0.271525986,0.396516636,0.855022224,0.001228938,0.839900627,0.802482429,2
0.660395759,0.619667033,0.675335452,0.669860396,0.140464156,0.13517168,0.864620586,0.082776545,0.853399467,0.829886472,1
0.69236869,0.662678052,0.677408652,0.672077698,0.14125389,0.139601696,0.865685744,0.136568028,0.85453077,0.830306732,1
0.701839009,0.667467341,0.676386453,0.672165487,0.141162669,0.139079271,0.865160564,0.13752138,0.854575561,0.830674678,1
0.697436789,0.664462969,0.676067626,0.671296156,0.139445785,0.138152092,0.864996758,0.136165092,0.854132014,0.831924559,1
0.647995584,0.618301817,0.67578493,0.671503846,0.140120706,0.135478493,0.864851516,0.064218432,0.854237981,0.831096503,1
0.668326297,0.636969638,0.668212888,0.664171797,0.139251434,0.135180558,0.860961192,0.076503734,0.850497052,0.835390933,1
0.65874416,0.599314994,0.674989547,0.670251696,0.124545783,0.119287598,0.864442869,0.066635643,0.853599114,0.830854585,1
0.12905005,0.112225686,0.140985356,0.140248342,0.918301547,0.909762731,0.441340056,0.91278463,0.435977478,0.429925962,0
0.001103356,0.001749608,0.112845661,0.135523136,0.911243111,0.83390855,0.457225548,0.005945592,0.443973331,0.438183646,2
0.029585786,0.016891185,0.796843496,0.897109713,0.303434098,0.391829883,0.927048354,0.001916605,0.955726231,0.791651553,2
0.788998091,0.425580548,0.772713126,0.767628413,0.245542793,0.243535616,0.914650778,0.218359074,0.903282274,0.737905337,1
0.74505527,0.451581088,0.774607032,0.768110763,0.246556243,0.24608898,0.91562382,0.227930348,0.903528376,0.73598752,1
0.753633165,0.476282728,0.783249431,0.775132378,0.206088934,0.206615466,0.920064066,0.176117887,0.907110917,0.744457406,1
0.781094509,0.479350101,0.782693826,0.775547193,0.207034292,0.20437812,0.91977861,0.192362146,0.907322562,0.744085792,1
0.802698433,0.494347719,0.779750918,0.775201639,0.208167305,0.206839513,0.918266618,0.207093433,0.907146255,0.744809538,1
0.805463259,0.493146123,0.781177037,0.776681953,0.199653334,0.198109502,0.918999322,0.198424757,0.907901535,0.744908004,1
0.804589316,0.476033149,0.78473619,0.779095943,0.204060991,0.202922805,0.920827926,0.19866283,0.909133191,0.742218993,1
0.160852953,0.454338086,0.236812187,0.240180723,0.756021415,0.741696911,0.392106647,0.629144352,0.384990377,0.765806006,0
0.140740044,0.296654014,0.253269813,0.273580187,0.76980426,0.780547827,0.383651134,0.62963117,0.367949436,0.741975756,2
0.020841763,0.008609327,0.345517662,0.594652147,0.601610604,0.547493147,0.606240867,0.001959175,0.710219356,0.520733325,2
0.257987071,0.001894027,0.645227561,0.617891554,0.489343118,0.501184218,0.849151911,0.020240139,0.826884132,0.27235069,2
0.627472808,0.272209696,0.667836084,0.662482973,0.575189867,0.570920954,0.8607676,0.51809935,0.849635387,0.33017238,1
0.69456442,0.307486128,0.670907506,0.66684576,0.569834579,0.564480752,0.862345619,0.590513439,0.851861351,0.337617846,1
0.683537835,0.29603809,0.672115744,0.667809115,0.567167857,0.562291326,0.862966381,0.581988072,0.852352871,0.337286554,1
0.699176057,0.309421562,0.674312394,0.669686981,0.56734012,0.562259763,0.864094965,0.59169589,0.853310988,0.338205783,1
0.694403415,0.311541106,0.673145903,0.668306991,0.566216353,0.56159626,0.863495651,0.581270323,0.852606895,0.337086127,1
0.690348314,0.306446357,0.669017969,0.665242669,0.5710532,0.565546612,0.861374822,0.584666322,0.851043429,0.335004716,1
0.010200139,0.000263053,0.104850923,0.106606397,0.862997623,0.824083873,0.459905016,0.662439106,0.453142136,0.409568955,0
0.034634591,0.032653003,0.138864025,0.177381131,0.918312821,0.888700736,0.442429942,0.652943255,0.417031734,0.395056956,2
0.002945687,0.005232039,0.535461867,0.60827023,0.504241756,0.555296295,0.776577363,0.013375535,0.707624519,0.269471056,2
0.236251174,0.410188803,0.682993753,0.661118105,0.151034272,0.165377894,0.868555228,0.001486055,0.84893901,0.160840327,2
0.701822886,0.606159232,0.695235991,0.69061632,0.132357359,0.132724127,0.874844981,0.125679121,0.863989472,0.177047712,1
0.71001501,0.61855693,0.696801866,0.69192284,0.130979799,0.128660574,0.875649488,0.107518492,0.864656079,0.177306097,1
0.716620408,0.634959618,0.696379437,0.691260366,0.126445126,0.124400126,0.875432454,0.123620881,0.864318074,0.176549585,1
0.720526279,0.643636563,0.696424496,0.692606795,0.124586446,0.122913451,0.875455605,0.1208208,0.865005044,0.177194539,1
0.717839249,0.639893404,0.69688644,0.692049582,0.120916478,0.12035769,0.87569294,0.11533365,0.864720744,0.176636707,1
0.720458123,0.641879139,0.69660558,0.692152789,0.125905418,0.124388954,0.875548641,0.122865466,0.864773403,0.176853541,1
0.032267297,0.159783122,0.180246291,0.165065608,0.872039129,0.885539596,0.421168778,0.806571291,0.423315311,0.355588724,0
0.049794788,0.147594799,0.130409369,0.149527055,0.901054696,0.879256355,0.446773731,0.649095916,0.43124333,0.349057569,0
0.050337765,0.003670174,0.629668222,0.721562141,0.551848975,0.591204811,0.815728131,0.001099064,0.794399464,0.322754224,2
0.011566973,0.062162619,0.650866995,0.595235293,0.108133927,0.113637019,0.85204931,0.002312831,0.815268257,0.123745307,2
0.670248999,0.684297671,0.656722564,0.650346703,0.099301365,0.097395759,0.855057753,0.084815128,0.843443268,0.150419819,1
0.677763728,0.689556539,0.657095532,0.652885937,0.095970694,0.095273524,0.855249375,0.095365554,0.844738826,0.152028972,1
0.67161666,0.687544347,0.658521399,0.653755069,0.094445905,0.093549436,0.85598195,0.090297586,0.845182271,0.152792098,1
0.673833194,0.677355535,0.663093858,0.657425535,0.093284893,0.093348863,0.858331164,0.080889572,0.847055002,0.154580717,1
0.688610891,0.682475111,0.665952451,0.661594019,0.086119932,0.085010079,0.859799837,0.079015721,0.849181829,0.15649859,1
0.686625839,0.682472675,0.666268822,0.661960289,0.082450661,0.081952627,0.85996238,0.080757488,0.849368706,0.156787568,1
0.001094635,9.89E-05,0.043271091,0.044684724,0.899665963,0.86600472,0.539881861,0.74492043,0.533044913,0.538675179,0
0.00339081,0.005855354,0.172116065,0.166418884,0.898414963,0.836090539,0.599579848,0.240967954,0.579941976,0.583891003,2
0.001382634,0.002317877,0.633062816,0.651846148,0.2408662,0.350489896,0.838478494,0.001117979,0.807774743,0.748268897,2
0.698985833,0.614876163,0.683479945,0.681620974,0.065750326,0.065704916,0.868805021,0.051480562,0.859399902,0.827809667,1
0.684510821,0.662908244,0.67878054,0.673767661,0.06783448,0.066938712,0.866390585,0.059882614,0.855393016,0.833223788,1
0.704214599,0.644228575,0.680502526,0.677358083,0.072730934,0.072183403,0.867275298,0.063404483,0.857224907,0.830594977,1
0.701066551,0.662742846,0.68133851,0.67713707,0.071830812,0.07094837,0.867704806,0.065164498,0.857112142,0.830805444,1
0.693126507,0.648857898,0.680942464,0.676678326,0.073034836,0.07199957,0.867501327,0.038435738,0.856878084,0.829790426,1
0.69334578,0.6511069,0.680656971,0.676760108,0.054661965,0.055798772,0.867354648,0.037534651,0.85691981,0.832309155,1
0.708024745,0.671405104,0.681298388,0.676804155,0.052028375,0.050558847,0.867684192,0.038570678,0.856942284,0.831259401,1
0.028182461,0.04958679,0.034458783,0.036156406,0.933874004,0.926802675,0.535354319,0.986221456,0.530073549,0.523819005,0
0.045629749,0.039577544,0.081163774,0.088376466,0.934311241,0.91256294,0.559350166,0.862964351,0.55671706,0.540403085,2
0.00995657,0.00170368,0.602093039,0.587248845,0.739738538,0.685769913,0.775578635,0.000556078,0.753108197,0.70843198,2
0.618861449,0.504884054,0.689230832,0.68485719,0.099192805,0.10521028,0.871759681,0.003177982,0.861051071,0.830522308,2
0.717327863,0.653801254,0.690336773,0.686020132,0.100407511,0.09867253,0.872327886,0.094974086,0.861644423,0.823657641,1
0.689754153,0.608101596,0.696385042,0.693225861,0.099870644,0.102159635,0.875435334,0.089910345,0.865320901,0.818797066,1
0.718281593,0.63386616,0.699106472,0.694154893,0.106418581,0.105415281,0.876833537,0.101869223,0.865794908,0.817796652,1
0.725680615,0.641134178,0.69962139,0.695626602,0.10416635,0.103114908,0.877098088,0.100805322,0.866545798,0.817203689,1
0.721200132,0.636107146,0.699157823,0.694570098,0.104588695,0.103779216,0.876859919,0.102538246,0.866006752,0.816955587,1
0.710725872,0.642644808,0.699192869,0.69374672,0.095600664,0.095385855,0.876877925,0.087381048,0.865586652,0.818772613,1
0.097853823,0.014951284,0.099045955,0.097729555,0.929990114,0.920784398,0.568537579,0.975671569,0.561489156,0.507715366,0
0.06706267,0.003025863,0.123676554,0.13875042,0.930397462,0.914558627,0.581192159,0.857029689,0.582418657,0.539465391,2
0.005900144,0.008734769,0.554820898,0.574523798,0.68407795,0.691211341,0.769121139,0.004102981,0.717503291,0.736073449,2
0.467301964,0.48431979,0.685602361,0.687396208,0.072070746,0.087820654,0.869895465,0.000224437,0.862346519,0.824974155,2
0.686416275,0.659588815,0.68101996,0.675637136,0.082991221,0.084149079,0.867541143,0.057103302,0.856346852,0.831672624,1
0.692585044,0.654836962,0.679911007,0.675302156,0.086993991,0.087470336,0.866971391,0.071959565,0.85617594,0.830410113,1
0.688102091,0.643636563,0.679055438,0.673660513,0.100569084,0.097024312,0.866531821,0.07113548,0.855338348,0.831482254,1
0.698934835,0.668700936,0.677489351,0.672980157,0.100551769,0.10017691,0.865727205,0.100621644,0.854991219,0.831654849,1
0.702087096,0.668123446,0.682862654,0.678189256,0.092391023,0.091963167,0.868487872,0.089519327,0.857648985,0.829558463,1
0.70159545,0.67041338,0.677007933,0.672679569,0.101570895,0.099167914,0.865479865,0.092080287,0.854837854,0.831068915,1
0.031035861,0.017912823,0.088880097,0.088303072,0.936015251,0.920570597,0.468110424,0.86937236,0.462480786,0.463648054,0
0.062623256,0.005462437,0.266002605,0.36372854,0.879327527,0.873501166,0.377109347,0.033813881,0.321954304,0.375499039,2
0.009034102,0.007855014,0.663547094,0.66853561,0.467780724,0.512962695,0.858564025,0.000679632,0.850731216,0.826306106,2
0.690829035,0.560804513,0.709132111,0.709078081,0.196511151,0.187330416,0.881984457,0.010284729,0.873408957,0.7987978,1
0.748305652,0.511044119,0.735042913,0.731732306,0.188405221,0.188694388,0.895296773,0.164151578,0.884967506,0.785554961,1
0.720313654,0.444437297,0.739062693,0.740958097,0.190208359,0.199122775,0.897362035,0.139440511,0.889674652,0.774371766,1
0.761884379,0.576215488,0.736432673,0.732048214,0.185886681,0.183944685,0.896010797,0.188229363,0.885128687,0.786472278,1
0.76208765,0.581575647,0.735996249,0.731212897,0.185996717,0.183449954,0.895786573,0.183035565,0.884702495,0.787097473,1
0.763160136,0.580737604,0.736619527,0.730969913,0.184735528,0.184046984,0.896106798,0.18628634,0.88457852,0.787164075,1
0.756229114,0.571640608,0.735562548,0.729344514,0.18205111,0.181085508,0.895563749,0.166773077,0.883749216,0.789321884,1
0.120779722,0.069732182,0.174254613,0.178005173,0.916663848,0.909283604,0.424247151,0.966967474,0.416713338,0.546136908,0
0.120162794,0.000279708,0.382027327,0.411813771,0.860410755,0.853225499,0.317498771,0.664880407,0.29742045,0.476565156,2
0.029592723,0.003402131,0.762181352,0.790252615,0.488767354,0.502384344,0.885455981,0.002499536,0.773735971,0.722123683,2
0.703671219,0.565767806,0.709023308,0.703056243,0.217076458,0.212187265,0.881928557,0.044298534,0.870336519,0.803956181,1
0.667703957,0.535537357,0.715705065,0.711314026,0.202225899,0.194766082,0.885361474,0.127693851,0.874549772,0.794080944,1
0.733024755,0.566281124,0.730044277,0.722590548,0.205656112,0.204410573,0.8927286,0.208049071,0.880303234,0.790551076,1
0.72942957,0.570248085,0.726763968,0.721172648,0.203803733,0.201895903,0.89104326,0.200683608,0.879579799,0.791336344,1
0.747337617,0.582547174,0.726980674,0.722616691,0.204447101,0.202656623,0.891154598,0.208909714,0.880316573,0.789892429,1
0.756364406,0.582430417,0.728504867,0.72376187,0.207153004,0.204796648,0.89193769,0.210096749,0.880900862,0.789170357,1
0.755213507,0.588138593,0.728304843,0.723473943,0.20410871,0.202400353,0.891834923,0.210846054,0.880753956,0.789815422,1
0.095896046,0.007951356,0.103621008,0.104452166,0.930622656,0.924190483,0.460536915,0.978501704,0.454241259,0.490882429,0
0.05564873,8.38E-05,0.296560261,0.338801933,0.888246761,0.871520486,0.361409594,0.658060402,0.334672258,0.417169667,2
0.039881617,0.025115495,0.713157619,0.781634976,0.354897427,0.409690802,0.880760232,0.011586309,0.81179897,0.726991993,2
0.567519765,0.475655307,0.675856484,0.668530228,0.204331544,0.202912267,0.864888279,0.06179643,0.852720794,0.81972446,2
0.678417889,0.414823243,0.700078222,0.698129177,0.210671473,0.207642601,0.877332797,0.155244825,0.867822651,0.804301702,1
0.72936898,0.612131816,0.704529213,0.700050538,0.208130264,0.206208769,0.879619604,0.211594405,0.86880296,0.805065208,1
0.732257929,0.615449652,0.70797499,0.703322418,0.20696879,0.204868097,0.881389957,0.208909714,0.870472326,0.803080902,1
0.72725285,0.612892714,0.70701718,0.70197456,0.208332702,0.206148255,0.880897859,0.204210018,0.869784627,0.803389775,1
0.732816798,0.610220737,0.706823247,0.702699876,0.205956096,0.204014317,0.880798221,0.211115861,0.870154695,0.802945577,1
0.700499094,0.605329293,0.701611422,0.696931114,0.203947787,0.201260987,0.878120516,0.192880845,0.86721138,0.807954733,1
0.183183864,0.421510887,0.202485058,0.203383847,0.806879634,0.794450002,0.40974306,0.793763278,0.403764732,0.717628209,0
0.2198461,0.000775854,0.777802457,0.686504925,0.456687229,0.48019571,0.114159493,0.061706914,0.157268627,0.709852575,2
0.047561317,0.000844636,0.823957589,0.869483578,0.43684502,0.539278504,0.940978891,0.001837434,0.895704852,0.531048086,2
0.836766558,0.126942183,0.833490229,0.82763784,0.328914439,0.32280531,0.945876521,0.287620769,0.933900044,0.626728544,1
0.865044047,0.244304834,0.836490764,0.830925204,0.340084885,0.336198461,0.94741812,0.347002357,0.93557731,0.621537862,1
0.865473628,0.243091653,0.836837964,0.831179732,0.340823936,0.337828179,0.947596503,0.354779794,0.935707174,0.619004375,1
0.867649511,0.238139191,0.836821113,0.831661261,0.342062377,0.338665185,0.947587845,0.351901317,0.935952857,0.617709025,1
0.871042832,0.230188366,0.838377144,0.83318786,0.342528992,0.339115248,0.948387294,0.354745397,0.936731753,0.616638973,1
0.869312623,0.235191415,0.837738473,0.832677714,0.341792691,0.338678137,0.948059162,0.350977477,0.936471468,0.616337864,1
0.871677551,0.23722056,0.837706786,0.83257223,0.341005273,0.337619106,0.948042881,0.351853004,0.936417648,0.616236045,1
0.11204666,0.138325581,0.205530297,0.224088259,0.899163491,0.867835854,0.408178493,0.68247067,0.39320101,0.619327595,0
0.040916765,0.002636549,0.430247456,0.519668958,0.734842864,0.671687909,0.353769716,0.084865956,0.37995222,0.599773467,2
0.003297712,0.00152922,0.817583367,0.878004563,0.410227747,0.468641407,0.937703976,0.004522121,0.952116248,0.676533985,2
0.837424148,0.034486609,0.853368886,0.851044307,0.358370395,0.35612548,0.956089673,0.233059553,0.945842398,0.563001247,1
0.885769492,0.126942183,0.85421265,0.848722506,0.355293743,0.35225822,0.956523178,0.370411938,0.944657778,0.564582735,1
0.887766903,0.127233098,0.854226592,0.848943049,0.354165582,0.35053636,0.956530341,0.365751306,0.944770302,0.565027777,1
0.884992142,0.136505463,0.854245707,0.848902963,0.353499835,0.35019317,0.956540162,0.368003934,0.94474985,0.567297107,1
0.88533383,0.134157033,0.855086127,0.850021202,0.352813063,0.349399056,0.956971948,0.367246535,0.945320393,0.566543494,1
0.883374026,0.13315314,0.853800638,0.848352259,0.351578896,0.347476792,0.956311497,0.354654447,0.944468872,0.571036171,1
0.886586143,0.136898543,0.853634951,0.848651079,0.349636613,0.34570456,0.956226371,0.359665994,0.944621335,0.569388477,1
0.119108167,0.381878516,0.160224866,0.163863189,0.841194692,0.82427303,0.431455281,0.820400558,0.423928805,0.701558424,0
0.047048168,0.003550367,0.464895512,0.436442789,0.668206272,0.663900385,0.306606653,0.143841799,0.388648491,0.660760653,2
0.006039295,0.00025157,0.896473108,0.957190727,0.374646105,0.434476637,0.978235535,0.011483057,1,0.540388715,2
0.766466357,0.063495243,0.830966216,0.818536054,0.340909297,0.338219733,0.944579747,0.294507345,0.929256167,0.624803348,1
0.800608415,0.111605757,0.839670358,0.83362822,0.348533678,0.343668132,0.949051715,0.20725449,0.936956432,0.612950552,1
0.810420262,0.2232472,0.825247083,0.818225266,0.342390264,0.332558666,0.941641401,0.306656426,0.929097598,0.642545279,1
0.843601694,0.274904962,0.822063679,0.817325766,0.341888467,0.337507873,0.940005848,0.345228181,0.928638659,0.641525499,1
0.853949805,0.281696921,0.822202803,0.81751898,0.340213832,0.336668653,0.940077326,0.3526549,0.928737239,0.641466389,1
0.850568686,0.290872505,0.820146926,0.814945277,0.342660531,0.339176285,0.939021068,0.351991029,0.927424095,0.6434642,1
0.854006947,0.291489131,0.821906251,0.816623344,0.343296058,0.340033785,0.939924965,0.355721161,0.928280272,0.643164191,1
0.019544476,0.000755486,0.04979469,0.055519172,0.941308258,0.947120484,0.543233522,0.946951265,0.539952743,0.47969603,0
0.001928322,0.000862447,0.220301103,0.246031598,0.914650835,0.956615665,0.400721628,0.608956339,0.429233371,0.45179511,2
0.000481377,0.032946003,0.425566176,0.535490972,0.187188647,0.258440928,0.736295432,0.003267758,0.764433578,0.135053922,2
0.2836435,0.776306149,0.341606556,0.339072411,0.265309745,0.260269944,0.693159098,0.046427648,0.684626143,0.052859307,2
0.306489636,0.878051997,0.329751682,0.32930614,0.235365813,0.231076161,0.687068362,0.137892821,0.679643235,0.047957049,1
0.256722185,0.120361342,0.422612716,0.479616342,0.117131215,0.140172469,0.734778019,0.000892572,0.756333906,0.125754958,1
0.656796843,0.008381756,0.8857147,0.880196684,0.075230312,0.094603953,0.972708137,0.009038959,0.960716407,0.668149999,1
0.872475944,0.269752138,0.871128621,0.863551092,0.071509408,0.072994859,0.965214177,0.059829272,0.95222356,0.669530632,1
0.898354263,0.312538185,0.870052979,0.865728097,0.081350459,0.079933504,0.96466154,0.064206187,0.953334302,0.663406123,1
0.900610405,0.323574635,0.871559095,0.866237047,0.074083954,0.073314218,0.965435344,0.069183265,0.953593977,0.662286703,1
0.000573364,0.000287488,0.03838787,0.039519455,0.9204149,0.909161289,0.537372985,0.784108468,0.530752726,0.477527649,0
0.001852683,0.001008357,0.423620558,0.333917209,0.909960805,0.918376272,0.296129218,0.659562141,0.338079641,0.390354027,2
0.007312693,0.003039979,0.917892162,0.812171748,0.371588088,0.392379426,0.989240105,0.000745573,0.859904573,0.534109911,2
